Data,Título,Link
04/12/2019 ," Davi Kopenawa ganha ""Nobel alternativo"" e faz alerta ao mundo: garimpo está matando os Yanomami",https://terrasindigenas.org.br/pt-br/noticia/203829
27/11/2019 , Ianomâmis rechaçam proposta que prevê garimpo em terra indígena,https://terrasindigenas.org.br/pt-br/noticia/203680
27/11/2019 , Índios Yanomami denunciam risco de massacre em reserva no AM e RR e exigem saída de garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/203685
27/11/2019 ," Violência, problemas para a saúde e meio ambiente: a exploração de ouro em território Yanomami",https://terrasindigenas.org.br/pt-br/noticia/203686
27/11/2019 , Povos Yanomami protestam contra projeto de Bolsonaro que prevê garimpo em terra indígena,https://terrasindigenas.org.br/pt-br/noticia/203720
26/11/2019 , Debatedores apontam risco de genocídio dos Yanomami,https://terrasindigenas.org.br/pt-br/noticia/203710
14/10/2019 , Dois helicópteros apreendidos e 20 detidos em acampamento ilegal,https://terrasindigenas.org.br/pt-br/noticia/202735
13/10/2019 , PM detém 20 pessoas e apreende helicópteros em fazenda de apoio a garimpo ilegal em RR,https://terrasindigenas.org.br/pt-br/noticia/202781
25/09/2019 , Exército deflagra operação Curare 11 para combater garimpo ilegal na Terra Yanomami em RR,https://terrasindigenas.org.br/pt-br/noticia/202353
10/09/2019 , Miséria dourada: garimpo ilegal em terras ianomâmi,https://terrasindigenas.org.br/pt-br/noticia/201845
10/09/2019 , Encontrada morta mulher indígena que sumiu em rio após barco do Exército naufragar em RR,https://terrasindigenas.org.br/pt-br/noticia/201900
08/08/2019 ," Dário Kopenawa: ""São 20 mil garimpeiros explorando a nossa casa""",https://terrasindigenas.org.br/pt-br/noticia/201057
06/08/2019 , PF alerta para mortes em série de ianomâmis com avanço do garimpo,https://terrasindigenas.org.br/pt-br/noticia/201014
04/08/2019 ," Garimpo, cobiça e pobreza na terra Ianomâmi",https://terrasindigenas.org.br/pt-br/noticia/201059
30/07/2019 , Yanomami e Ye'kwana entregam ao governo plano de gestão para garantir seu bem,https://terrasindigenas.org.br/pt-br/noticia/200769
22/07/2019 ," Davi Kopenawa: ""Eles são contra nossa vida porque protegemos a terra que o avô deles queria roubar""",https://terrasindigenas.org.br/pt-br/noticia/200495
19/07/2019 , Reserva amazônica Yanomami invadida por 20 mil mineiros; Bolsonaro não intervém,https://terrasindigenas.org.br/pt-br/noticia/200421
26/06/2019 , Mineração ilegal é mais um ataque aos direitos humanos dos povos amazônicos. Entrevista especial com Júlia Jacomini,https://terrasindigenas.org.br/pt-br/noticia/199967
12/06/2019 , Roraima exporta 194 kg de ouro à Índia sem ter nenhuma mina operando legalmente,https://terrasindigenas.org.br/pt-br/noticia/200656
29/05/2019 , Povo Yanomami solicita apoio do governo para combater maior invasão desde demarcação,https://terrasindigenas.org.br/pt-br/noticia/199506
17/05/2019 ," Invasão em terra indígena chega a 20 mil garimpeiros, diz líder ianomâmi",https://terrasindigenas.org.br/pt-br/noticia/199096
17/05/2019 ," Frente ""em defesa"" da Amazônia quer mineração em terras indígenas e tem deputado envolvido em conflitos",https://terrasindigenas.org.br/pt-br/noticia/199149
23/04/2019 , Yanomami e Ye´kwana solicitam que Exército volte a combater garimpo em seu território,https://terrasindigenas.org.br/pt-br/noticia/198545
23/04/2019 ," Yanomami respondem a Bolsonaro: ""Não somos pobres e não queremos garimpo""",https://terrasindigenas.org.br/pt-br/noticia/198598
21/03/2019 ," Campeã de requerimentos minerários, Terra Indígena Yanomami sofre com explosão do garimpo",https://terrasindigenas.org.br/pt-br/noticia/197730
14/12/2018 , Crescimento do garimpo ilegal na Amazônia atinge duramente áreas indígenas,https://terrasindigenas.org.br/pt-br/noticia/195798
24/11/2018 , Justiça manda União e Funai reativarem bases de vigilância na terra ianomâmi,https://terrasindigenas.org.br/pt-br/noticia/195023
18/11/2018 , Ação tira 1.900 garimpeiros de terra ianomâmi,https://terrasindigenas.org.br/pt-br/noticia/194933
10/11/2018 , Alternativa Cacau,https://terrasindigenas.org.br/pt-br/noticia/194773
25/08/2018 , Exército monta bases para evitar garimpo em terra ianomâmi em RR,https://terrasindigenas.org.br/pt-br/noticia/192381
